epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
509,65,5.189999999999994,0 days 00:00:08.081468,0.6615517,14193,1,0.40994000000000996,14193,0 days 00:57:25.061421,True,True,10000
510,41,2.7900000000000023,0 days 00:00:05.333991,1.1000341,14235,1,0.41004000000001006,14235,0 days 00:57:34.015446,True,True,10000
511,41,2.7900000000000023,0 days 00:00:05.324921,1.0615513,14277,1,0.41014000000001016,14277,0 days 00:57:42.955647,True,True,10000
512,47,3.3900000000000006,0 days 00:00:08.795705,0.7448886,14325,1,0.41024000000001026,14325,0 days 00:57:55.378229,True,True,10000
513,50,3.6899999999999995,0 days 00:00:05.045969,1.0894656,14376,1,0.4103600000000104,14376,0 days 00:58:04.045359,True,True,10000
514,51,3.789999999999999,0 days 00:00:06.162966,0.7905492,14428,1,0.4104800000000105,14428,0 days 00:58:13.828625,True,True,10000
515,51,3.789999999999999,0 days 00:00:06.145118,1.2426276,14480,1,0.4106000000000106,14480,0 days 00:58:23.594529,True,True,10000
516,49,3.59,0 days 00:00:07.120953,0.84690917,14530,1,0.41072000000001074,14530,0 days 00:58:34.338240,True,True,10000
517,40,2.690000000000002,0 days 00:00:03.710871,1.1928332,14571,1,0.41082000000001084,14571,0 days 00:58:41.677982,True,True,10000
518,89,7.589999999999986,0 days 00:00:12.895972,1.0689698,14661,1,0.41104000000001106,14661,0 days 00:58:58.196158,True,True,10000
519,41,2.7900000000000023,0 days 00:00:05.313932,1.2871408,14703,1,0.41114000000001116,14703,0 days 00:59:07.133014,True,True,10000
520,129,11.589999999999971,0 days 00:00:25.082573,0.97752357,14833,1,0.4114600000000115,14833,0 days 00:59:35.835291,True,True,10000
521,78,6.4899999999999896,0 days 00:00:15.463868,1.0433465,14912,1,0.41164000000001166,14912,0 days 00:59:54.916260,True,True,10000
522,51,3.789999999999999,0 days 00:00:08.155061,1.3868083,14964,1,0.4117600000000118,14964,0 days 01:00:06.691980,True,True,10000
523,32,1.8900000000000015,0 days 00:00:07.216374,0.9313347,14997,1,0.41184000000001186,14997,0 days 01:00:17.528792,True,True,10000
