epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net
2621,360,34.69000000000024,0 days 00:00:56.406557,10.28662,112556,1,1.0,112556,0 days 09:17:38.946076,True,True
2622,407,39.390000000000306,0 days 00:01:20.846693,10.579101,112964,1,1.0,112964,0 days 09:19:03.442397,True,True
2623,309,29.590000000000163,0 days 00:00:52.608579,10.744265,113274,1,1.0,113274,0 days 09:19:59.708991,True,True
2624,302,28.890000000000153,0 days 00:00:49.641018,10.621191,113577,1,1.0,113577,0 days 09:20:52.997861,True,True
2625,354,34.09000000000023,0 days 00:01:01.977346,10.749654,113932,1,1.0,113932,0 days 09:21:58.627512,True,True
2626,351,33.79000000000023,0 days 00:01:08.268733,10.746559,114284,1,1.0,114284,0 days 09:23:10.542352,True,True
2627,202,18.89000000000001,0 days 00:00:31.534122,10.413168,114487,1,1.0,114487,0 days 09:23:45.730301,True,True
2628,491,47.790000000000425,0 days 00:01:19.711949,10.480608,114979,1,1.0,114979,0 days 09:25:09.085071,True,True
2629,192,17.889999999999997,0 days 00:00:32.985131,10.759444,115172,1,1.0,115172,0 days 09:25:45.728067,True,True
2630,265,25.1900000000001,0 days 00:00:37.424681,10.72816,115438,1,1.0,115438,0 days 09:26:26.795574,True,True
2631,365,35.190000000000246,0 days 00:00:51.579770,10.506455,115804,1,1.0,115804,0 days 09:27:22.027786,True,True
2632,286,27.29000000000013,0 days 00:01:05.720356,10.943479,116091,1,1.0,116091,0 days 09:28:31.393164,True,True
2633,467,45.39000000000039,0 days 00:01:10.038459,10.593315,116559,1,1.0,116559,0 days 09:29:45.084312,True,True
2634,253,23.990000000000084,0 days 00:01:05.575614,10.765517,116813,1,1.0,116813,0 days 09:30:54.309764,True,True
2635,222,20.89000000000004,0 days 00:00:54.755299,10.578592,117036,1,1.0,117036,0 days 09:31:52.711891,True,True
2636,243,22.99000000000007,0 days 00:00:49.973562,10.270398,117280,1,1.0,117280,0 days 09:32:46.337471,True,True
2637,560,54.69000000000052,0 days 00:01:18.807560,10.920775,117841,1,1.0,117841,0 days 09:34:08.797025,True,True
2638,264,25.0900000000001,0 days 00:01:15.311675,10.577538,118106,1,1.0,118106,0 days 09:35:27.756054,True,True
2639,454,44.09000000000037,0 days 00:01:22.381194,10.733059,118561,1,1.0,118561,0 days 09:36:53.779306,True,True
2640,456,44.290000000000376,0 days 00:01:24.408153,10.997348,119018,1,1.0,119018,0 days 09:38:21.844348,True,True
2641,444,43.09000000000036,0 days 00:01:20.368781,11.028553,119463,1,1.0,119463,0 days 09:39:45.856749,True,True
2642,510,49.69000000000045,0 days 00:01:34.801860,10.912342,119974,1,1.0,119974,0 days 09:41:24.309548,True,True
2643,394,38.09000000000029,0 days 00:01:00.012178,11.116876,120369,1,1.0,120369,0 days 09:42:27.972629,True,True
2644,268,25.490000000000105,0 days 00:00:56.220430,10.923422,120638,1,1.0,120638,0 days 09:43:27.836539,True,True
2645,488,47.49000000000042,0 days 00:01:13.280624,11.134285,121127,1,1.0,121127,0 days 09:44:44.770712,True,True
2646,652,63.89000000000058,0 days 00:01:26.466772,11.26454,121780,1,1.0,121780,0 days 09:46:14.878623,True,True
2647,503,48.99000000000044,0 days 00:01:24.049499,10.877135,122284,1,1.0,122284,0 days 09:47:42.581335,True,True
2648,223,20.99000000000004,0 days 00:00:55.996315,11.01061,122508,1,1.0,122508,0 days 09:48:42.232612,True,True
2649,292,27.89000000000014,0 days 00:00:57.352568,10.921826,122801,1,1.0,122801,0 days 09:49:43.229744,True,True
2650,255,24.190000000000087,0 days 00:00:38.545742,10.942675,123057,1,1.0,123057,0 days 09:50:25.429156,True,True
2651,261,24.790000000000095,0 days 00:00:53.963213,10.814694,123319,1,1.0,123319,0 days 09:51:23.040344,True,True
2652,348,33.49000000000022,0 days 00:01:04.233905,10.852315,123668,1,1.0,123668,0 days 09:52:30.919403,True,True
2653,258,24.49000000000009,0 days 00:00:39.540088,10.4825535,123927,1,1.0,123927,0 days 09:53:14.114474,True,True
2654,507,49.39000000000045,0 days 00:01:11.472954,10.689829,124435,1,1.0,124435,0 days 09:54:29.240264,True,True
2655,429,41.59000000000034,0 days 00:00:59.214053,10.853607,124865,1,1.0,124865,0 days 09:55:32.102852,True,True
2656,417,40.39000000000032,0 days 00:01:11.338722,10.852736,125283,1,1.0,125283,0 days 09:56:47.084848,True,True
2657,569,55.590000000000536,0 days 00:01:24.641890,10.865567,125853,1,1.0,125853,0 days 09:58:15.378431,True,True
2658,293,27.99000000000014,0 days 00:00:43.705268,10.99567,126147,1,1.0,126147,0 days 09:59:02.726092,True,True
2659,258,24.49000000000009,0 days 00:01:00.464714,10.828144,126406,1,1.0,126406,0 days 10:00:06.845383,True,True
2660,206,19.290000000000017,0 days 00:00:51.016913,11.260254,126613,1,1.0,126613,0 days 10:01:01.503955,True,True
2661,508,49.49000000000045,0 days 00:01:10.304216,11.145381,127122,1,1.0,127122,0 days 10:02:15.466004,True,True
2662,244,23.09000000000007,0 days 00:00:56.239303,11.190771,127367,1,1.0,127367,0 days 10:03:15.357805,True,True
2663,557,54.39000000000052,0 days 00:01:26.732656,10.772979,127925,1,1.0,127925,0 days 10:04:45.740907,True,True
2664,261,24.790000000000095,0 days 00:00:59.458487,11.10206,128187,1,1.0,128187,0 days 10:05:48.853572,True,True
2665,317,30.390000000000175,0 days 00:01:03.024532,11.397658,128505,1,1.0,128505,0 days 10:06:55.525998,True,True
2666,408,39.49000000000031,0 days 00:00:58.567353,11.091857,128914,1,1.0,128914,0 days 10:07:57.741457,True,True
2667,269,25.590000000000106,0 days 00:00:51.800799,10.923763,129184,1,1.0,129184,0 days 10:08:53.198895,True,True
2668,186,17.28999999999999,0 days 00:00:30.135770,11.378279,129371,1,1.0,129371,0 days 10:09:26.992607,True,True
2669,293,27.99000000000014,0 days 00:01:01.338680,11.443351,129665,1,1.0,129665,0 days 10:10:31.989093,True,True
2670,281,26.790000000000123,0 days 00:01:02.777480,11.33945,129947,1,1.0,129947,0 days 10:11:38.418640,True,True
2671,409,39.59000000000031,0 days 00:01:13.939464,11.441944,130357,1,1.0,130357,0 days 10:12:56.002255,True,True
2672,121,10.789999999999974,0 days 00:00:19.073773,11.453455,130479,1,1.0,130479,0 days 10:13:18.725246,True,True
2673,320,30.69000000000018,0 days 00:01:13.171696,11.531431,130800,1,1.0,130800,0 days 10:14:35.553767,True,True
2674,374,36.09000000000026,0 days 00:01:09.991670,11.426601,131175,1,1.0,131175,0 days 10:15:49.194833,True,True
2675,554,54.090000000000515,0 days 00:01:30.089325,11.443753,131730,1,1.0,131730,0 days 10:17:22.930554,True,True
2676,156,14.289999999999962,0 days 00:00:21.604495,11.910536,131887,1,1.0,131887,0 days 10:17:48.183896,True,True
2677,23,0.9900000000000007,0 days 00:00:06.405548,11.736004,131911,1,1.0,131911,0 days 10:17:58.244971,True,True
2678,263,24.990000000000098,0 days 00:00:54.547405,11.985379,132175,1,1.0,132175,0 days 10:18:56.436425,True,True
2679,144,13.089999999999966,0 days 00:00:21.208780,11.624305,132320,1,1.0,132320,0 days 10:19:21.304636,True,True
2680,562,54.890000000000526,0 days 00:01:33.485335,11.645731,132883,1,1.0,132883,0 days 10:20:58.444629,True,True
2681,273,25.990000000000112,0 days 00:00:53.454535,11.807787,133157,1,1.0,133157,0 days 10:21:55.548019,True,True
2682,352,33.89000000000023,0 days 00:01:05.269383,11.702345,133510,1,1.0,133510,0 days 10:23:04.472581,True,True
2683,224,21.090000000000042,0 days 00:00:48.436838,11.5069685,133735,1,1.0,133735,0 days 10:23:56.561940,True,True
2684,529,51.59000000000048,0 days 00:01:19.274597,11.82446,134265,1,1.0,134265,0 days 10:25:19.491420,True,True
2685,389,37.59000000000028,0 days 00:00:55.474798,11.762763,134655,1,1.0,134655,0 days 10:26:18.613160,True,True
2686,491,47.790000000000425,0 days 00:01:31.103272,11.898048,135147,1,1.0,135147,0 days 10:27:53.365127,True,True
2687,440,42.69000000000035,0 days 00:01:17.439512,11.693111,135588,1,1.0,135588,0 days 10:29:14.452473,True,True
2688,574,56.09000000000054,0 days 00:01:38.667581,11.86744,136163,1,1.0,136163,0 days 10:30:56.769059,True,True
2689,292,27.89000000000014,0 days 00:01:08.046218,11.466748,136456,1,1.0,136456,0 days 10:32:08.464281,True,True
2690,480,46.69000000000041,0 days 00:01:13.049383,11.875234,136937,1,1.0,136937,0 days 10:33:25.157371,True,True
2691,145,13.189999999999966,0 days 00:00:25.917844,11.824438,137083,1,1.0,137083,0 days 10:33:54.730300,True,True
2692,376,36.29000000000026,0 days 00:00:51.690501,11.992128,137460,1,1.0,137460,0 days 10:34:50.065756,True,True
2693,282,26.890000000000125,0 days 00:01:00.560723,11.955027,137743,1,1.0,137743,0 days 10:35:54.277258,True,True
2694,323,30.990000000000187,0 days 00:01:14.925992,11.808067,138067,1,1.0,138067,0 days 10:37:12.848830,True,True
2695,221,20.79000000000004,0 days 00:00:33.763831,11.980419,138289,1,1.0,138289,0 days 10:37:50.256896,True,True
2696,610,59.690000000000595,0 days 00:01:41.461662,12.346904,138900,1,1.0,138900,0 days 10:39:35.367125,True,True
2697,358,34.49000000000024,0 days 00:01:02.178026,12.552319,139259,1,1.0,139259,0 days 10:40:41.200286,True,True
2698,552,53.89000000000051,0 days 00:01:13.602831,12.343835,139812,1,1.0,139812,0 days 10:41:58.447769,True,True
2699,529,51.59000000000048,0 days 00:01:15.951940,12.645521,140342,1,1.0,140342,0 days 10:43:18.051921,True,True
2700,421,40.790000000000326,0 days 00:01:03.013669,12.165039,140764,1,1.0,140764,0 days 10:44:24.718657,True,True
2701,519,50.590000000000465,0 days 00:01:15.949636,12.467612,141284,1,1.0,141284,0 days 10:45:44.328915,True,True
2702,277,26.390000000000118,0 days 00:01:05.000650,12.36049,141562,1,1.0,141562,0 days 10:46:52.982104,True,True
2703,385,37.190000000000275,0 days 00:01:02.657431,12.397173,141948,1,1.0,141948,0 days 10:47:59.295155,True,True
2704,464,45.09000000000039,0 days 00:01:18.947633,12.518812,142413,1,1.0,142413,0 days 10:49:21.892037,True,True
2705,536,52.29000000000049,0 days 00:01:24.407227,12.235228,142950,1,1.0,142950,0 days 10:50:49.955433,True,True
2706,229,21.59000000000005,0 days 00:00:56.065383,12.391646,143180,1,1.0,143180,0 days 10:51:49.667456,True,True
2707,345,33.19000000000022,0 days 00:01:01.850362,12.310627,143526,1,1.0,143526,0 days 10:52:55.176398,True,True
2708,292,27.89000000000014,0 days 00:00:41.529134,12.572594,143819,1,1.0,143819,0 days 10:53:40.361455,True,True
2709,274,26.090000000000114,0 days 00:01:16.852769,12.237626,144094,1,1.0,144094,0 days 10:55:00.862146,True,True
2710,476,46.290000000000404,0 days 00:01:11.052447,12.206009,144571,1,1.0,144571,0 days 10:56:15.566265,True,True
2711,230,21.69000000000005,0 days 00:00:31.834482,12.724229,144802,1,1.0,144802,0 days 10:56:51.053170,True,True
2712,438,42.49000000000035,0 days 00:01:19.809133,12.4272175,145241,1,1.0,145241,0 days 10:58:14.505444,True,True
2713,456,44.290000000000376,0 days 00:01:10.864834,12.709611,145698,1,1.0,145698,0 days 10:59:29.015406,True,True
2714,336,32.290000000000205,0 days 00:01:04.961256,12.5554905,146035,1,1.0,146035,0 days 11:00:37.632909,True,True
2715,198,18.490000000000006,0 days 00:00:38.487513,12.715536,146234,1,1.0,146234,0 days 11:01:19.765446,True,True
